destinasi,review,sentiment,text_cleaned,sent_num
makam sunan kalijaga,"Ketika masuk dalam rombongan besar ada keranjang yang disediakan petugas setelah regristrasi. DISEDIAKAN ya

Ketika saya keluar, saya ada di paling belakang dengan satu orang lain dari rombongan saya. Lucunya ketika mengambil sandal diminta sedekah seikhlasnya, karena rombongan saya di depan terlihat sudah memberi saya tidak memberi.

Tak Tak Tak (memukul kotak) ""SEIKHLASNYA mas, monggo"" saya ambil sandal lalu langsung pergi. Beberapa langkah setelah menggunakan sandal ""TERAKHIR NGAPLEKI"". Sungguh ramah dan luar biasa petugasnya disana.",Negative,masuk rombongan keranjang disediakan petugas regristrasi disediakan ya orang rombongan lucunya mengambil sandal sedekah seikhlasnya rombongan tidak tak tak tak memukul kotak seikhlasnya mas monggo ambil sandal langsung pergi langkah sandal ngapleki sungguh ramah petugasnya disana,0.0
makam sunan kalijaga,Makam kebanyakan kotak amal dengan yg dgn cara di ketok2. Membuat Sangat tidak nyaman.,Negative,makam kebanyakan kotak amal ketok tidak nyaman,0.0
makam sunan kalijaga,Dengan Ziarah hidup semakin berkah,Positive,ziarah hidup berkah,1.0
makam sunan kalijaga,"Akses mudah, kalau pakai kendaraan mobil / elf lebih baik parkir yang dekat Masjid saja. Pas di jalan dikenakan tiket masuk /(parkir yaa) Rp. 30.000, lalu masuk cari parkir bayar lagi untuk parkir Rp. 10.000.
Kalau kesini waktu sholat, akses masuk makam ditutup, buka lagi setelah sholat.
Waktu masuk ke area makam, sandal dilepas ada penitipan sandal, nanti ambilnya di pintu keluar dengan infaq seiklasnya.",Positive,akses mudah pakai kendaraan mobil elf parkir masjid pas jalan dikenakan tiket masuk parkir ya rp masuk cari parkir bayar parkir rp kesini sholat akses masuk makam ditutup buka sholat masuk area makam sandal dilepas penitipan sandal ambilnya pintu infaq seiklasnya,1.0
makam sunan kalijaga,"Pertama kali ziarah ke makam sunan Kalijaga, tempat nya bagus, bersih, suasananya enak, ngk nyangka bisa kesini",Positive,kali ziarah makam sunan kalijaga bagus bersih suasananya enak menyangka kesini,1.0
makam sunan kalijaga,"Pertama kali kesini,  heran knp saat masuk harus dibedakan antara org lokal dan wisatawan dari luar kota? Mulai pintu masuk sampe penitipan sepatu sandal pun harus dibedakan? riibet bgt jdi males, ga tau niatnya apa, cukup sekali kesini  aja",Negative,kali kesini heran masuk dibedakan orang lokal wisatawan kota pintu masuk penitipan sepatu sandal dibedakan riibet banget malas tau niatnya kesini,0.0
makam sunan kalijaga,"27 Februari 2025

Assalamu'alaikum.

Saya Surya Purnama Adjie
27 Tahun.

Datang berkunjung, Ke tempat terbaringnya Sunan Kalijaga, Raden Sahid. Kubur engkau besar sekali. Megah, saya sangat takjub, Seperti yang diceritakan oleh kedua orang tuaku.
Suara tahlil, sholawat dan ayat-ayat Al Quran begitu riuh terdengar.
Sungguh energi yang luar biasa. Terkumpul semua disini.

Niat saya untuk belajar, menyelia ilmu. Bertamu kepada negara para Wali, Demak.

Allahu,Lailahaillahuwalhayyul qayyum, Sungguh saya masih butuh banyak bimbingan untuk bersiap menjadi pemimpin,orang tua dan suami yang baik .
Karenanya saya akan menjadi tempat bergantung banyak orang, , lancarkan lah diriku dalam mencari pengetahuan dan nasihat serta pelajaran dari pengalaman para sepuh dan wali yang telah mendahului daripada dunia ini, saya yakin seperti dalam Firman-Mu, mereka yang berjuang di jalan-Mu tidaklah mati tetapi jiwanya terus hidup, falsafahnya akan selalu bermanfaat serta warisan pengalaman, ajaran, dan ide yang atas ijin Allah Subhanahuwata ala, akan selalu bisa saya akses kapapun, dan diaplikasikan pada kehidupan nyata.

Yaa Muizz.. Yaa Aziim.. Saya akan bertemu dengan para pengusaha besar, pejabat tinggi negara dan para zuriat, anak anak keturunan dari orang hebat. Pancarkan aura yang hebat dan positif dari wajah, tubuh, suara, tatapan, gerak-gerik dan kepercayaan diri saya. Jadikanlah suaraku sebagai suara yang lantang dan menggerakkan hati mereka, buatlah mereka yakin, percaya atas diriku. Dan buatlah aku dapat istiqomah untuk menjaga kepercayaan itu.

Ya Illah, pemilik seluruh Ilmu. Ijinkanlah saya mempelajari ilmu yang telah Engkau beri, permudahlah saya mengaplikasikan dan jernihkanlah pikiran saya kelak untuk mengajarkan kepada seluruh keturunan saya.
Berkat doa Laa Ilaa Ha Illallah, Muhammadur Rasulullah.",Positive,februari assalamu alaikum surya purnama adjie berkunjung terbaringnya sunan kalijaga raden sahid kubur engkau megah takjub diceritakan orang tuaku suara tahlil sholawat ayat ayat al quran riuh terdengar sungguh energi terkumpul niat belajar menyelia ilmu bertamu negara wali demak allahu lailahaillahuwalhayyul qayyum sungguh butuh bimbingan pemimpin orang tua suami bergantung orang lancarkan diriku mencari pengetahuan nasihat pelajaran pengalaman sepuh wali mendahului dunia firman mu berjuang jalan mu mati jiwanya hidup falsafahnya bermanfaat warisan pengalaman ajaran ide ijin allah subhanahuwata ala akses kapapun diaplikasikan kehidupan nyata ya muizz ya aziim bertemu pengusaha pejabat negara zuriat anak anak keturunan orang hebat pancarkan aura hebat positif wajah tubuh suara tatapan gerak gerik kepercayaan jadikanlah suaraku suara lantang menggerakkan hati buatlah percaya diriku buatlah istikamah menjaga kepercayaan ya illah pemilik ilmu ijinkanlah mempelajari ilmu engkau permudahlah mengaplikasikan jernihkanlah pikiran kelak mengajarkan keturunan berkat doa ilaa ha illallah muhammadur rasulullah,1.0
makam sunan kalijaga,Barokah ini tempatnya,Positive,barokah tempatnya,1.0
makam sunan kalijaga,"bagoes bet, sigma",Positive,bagoes banget sigma,1.0
makam sunan kalijaga,"Alhamdulillah bisa sampe sini
10/04/25 rombongan temanggung",Positive,alhamdulillah rombongan temanggung,1.0
